id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Lela;King;Reyes96@yahoo.com;finally hence override;2025-05-21T17:16:16;23309;27196
2;Jaylin;Jacobs;Cameron78@gmail.com;ha how;2025-05-22T03:17:16;23583;1850
3;Hazel;Nikolaus;Ernest.Hessel@yahoo.com;after keenly;2025-05-21T21:33:56;24071;11173
4;Braxton;Mills;Joan.Mosciski90@gmail.com;wholly modulo;2025-05-22T01:17:17;6009;25083
5;Amara;VonRueden;Greta_Hartmann66@yahoo.com;fooey tinderbox aside;2025-05-21T17:56:15;910;5587
6;Rhea;Green;Kamille.Runolfsson@gmail.com;phew dreamily;2025-05-22T01:02:37;24175;17671
7;Chet;Boyer;Krystal31@yahoo.com;towards boo austere;2025-05-22T06:52:38;10326;21300
8;Payton;Davis;Korbin.Fahey0@yahoo.com;though fedora whether;2025-05-22T02:53:49;18522;12624
9;Martine;Muller;Casandra.Oberbrunner64@yahoo.com;out mispronounce;2025-05-21T20:48:04;10006;14682
10;Bailee;Schmitt;Troy.Gerhold@gmail.com;um come;2025-05-22T02:47:54;10390;1922
